lsoa11,samhi_index.2011,samhi_dec.2011,samhi_index.2012,samhi_dec.2012,samhi_index.2013,samhi_dec.2013,samhi_index.2014,samhi_dec.2014,samhi_index.2015,samhi_dec.2015,samhi_index.2016,samhi_dec.2016,samhi_index.2017,samhi_dec.2017,samhi_index.2018,samhi_dec.2018
E01000043,-0.522229501,6,-0.544265045,5,-0.561308773,4,-0.934725642,2,-0.88603475,1,-0.991289094,1,-0.659142342,2,-0.734821732,1
E01000044,-1.042330838,2,-0.993846915,2,-0.799561639,3,-0.957585773,1,-0.745458417,2,-0.740043289,2,-0.755722121,2,-0.971339374,1
E01000045,-0.50833332,6,-0.412200987,6,-0.709663209,3,-0.827949317,2,-0.411309058,4,-0.276705726,5,-0.375683892,4,0.186627083,6
E01000046,-0.735316659,4,-0.604088485,4,-0.77927502,3,-0.646128427,3,-0.711246451,2,-0.453105666,4,-0.177458257,5,-0.15445575,4
E01000048,-0.836565903,4,-0.707632398,4,0.240634535,8,-0.478938225,4,-0.599500292,3,-0.514921575,3,-0.680000856,2,-0.54171282,2
E01000049,-0.946453132,3,-0.779762558,3,-0.672679304,4,-0.473407815,4,-0.867655739,2,-0.639277565,2,-0.450878387,3,-0.580504286,2
E01000050,-0.402764993,6,-0.526353619,5,-0.326558828,6,-0.528696913,4,0.332875235,8,-0.503553467,3,0.121919567,6,0.297714728,6
E01000051,-0.639307895,5,-0.629941153,4,-0.989548587,2,-1.035654833,1,-0.752877101,2,-0.975509534,1,-0.686723582,2,-1.083569829,1
E01000052,-0.466670795,6,-0.596100564,4,-0.508231008,5,-0.639806124,3,-0.661071427,3,-0.774698439,2,-0.723550332,2,-0.564496734,2
E01000053,0.446573026,9,0.201568549,8,0.325126182,8,0.073335777,7,0.108402715,7,0.460110575,8,0.760571494,8,0.725332848,8
E01000054,-0.781585145,4,-0.660655909,4,-0.800371016,3,-0.894879297,2,-0.816337117,2,-0.539123849,3,-0.524004721,3,-0.105176883,4
E01000055,-1.004186603,2,-0.767856177,3,-0.862571715,2,-0.845596761,2,-0.50673434,4,-0.42939259,4,-0.35955822,4,0.038008544,5
E01000056,0.476098372,9,0.162920405,8,0.300942742,8,0.347994707,8,-0.038773872,6,-0.007500764,6,0.264665243,7,0.714287448,8
E01000057,-0.696135852,5,-0.605553981,4,-0.63644008,4,-0.585807184,4,-0.305402015,5,-0.671425271,2,-0.504133043,3,-0.204406445,4
E01000058,-0.669074007,5,-0.699213342,4,-0.468640243,5,-0.588963802,4,-0.353619741,5,-0.360694328,4,0.10619373,6,0.059182479,5
E01000059,-0.59014306,5,-0.560901372,5,-0.54648272,4,-0.040375497,7,-0.417792379,4,-0.391320609,4,-0.078079187,5,0.017362478,5
E01000060,0.794622953,10,0.248169179,8,0.178670199,8,-0.38806994,5,0.10551641,7,0.010991195,6,0.220131575,7,0.207857113,6
E01000061,0.335304741,9,0.512350778,9,0.664748188,9,0.182824155,7,0.788759041,9,1.043150215,9,1.183219849,9,1.168837191,9
E01000062,-0.29963977,7,-0.894483381,2,-0.281011443,6,-0.433127525,5,-0.387338571,4,-0.527378899,3,-0.408675505,3,0.031976484,5
E01000063,-0.642924112,5,-0.297453088,6,-0.520095999,5,-0.428203224,5,-0.346103361,5,-0.292998855,5,0.108762314,6,-0.083490086,4
E01000064,0.354199035,9,0.437735178,9,1.389535407,10,0.92523259,9,0.37946682,8,0.361037368,7,0.691350547,8,0.832858389,8
E01000065,0.83008241,10,1.135551999,10,0.813107557,9,1.275042234,10,0.79621373,9,1.028306616,9,1.109741249,9,1.501988103,9
E01000066,-1.049721732,2,-0.581498705,5,-0.899657398,2,-0.777352975,2,-0.948889535,1,-0.682224582,2,-0.582582711,2,-0.629772498,2
E01000067,-1.035694875,2,-0.984604122,2,-1.200124683,1,-0.861857031,2,-1.038343384,1,-0.793277292,2,-0.715784747,2,-0.792627487,1
E01000068,-1.079008485,2,-0.980101329,2,-0.99042561,2,-0.674269278,3,-0.400628945,4,-0.498673977,3,-0.633531011,2,-0.282546185,3
E01000069,-1.066861953,2,-1.31157874,1,-1.110932247,1,-1.156474167,1,-0.990260354,1,-1.042199591,1,-1.076008973,1,-0.781831322,1
E01000070,-1.008047719,2,-1.263524453,1,-1.117117712,1,-0.850996659,2,-0.518241206,4,-0.766207822,2,-0.548162472,3,-0.645331486,2
E01000071,-0.685845458,5,-1.081214036,1,-0.860253817,2,-0.899746731,2,-0.859360118,2,-0.862418432,1,-0.635185841,2,-0.288040469,3
E01000072,0.002187755,8,-0.43037312,5,-0.147761256,7,-0.206803276,6,0.098800727,7,-0.105208661,6,0.053138706,6,0.324962717,6
E01000073,0.098751337,8,-0.255154488,6,-0.279030584,6,-0.04298515,7,0.156655296,7,0.410806405,8,0.477940882,7,0.229555146,6
E01000074,-0.470754394,6,-0.492463524,5,-0.195061656,6,-0.364879452,5,-0.186395231,5,-0.016678462,6,-0.132110552,5,0.032920367,5
E01000075,-0.167938966,7,-0.791090698,3,-0.535633069,4,-0.308270447,5,0.090998617,7,-0.645166904,2,-0.212399814,5,-0.054304804,5
E01000076,0.175920412,8,0.415661159,9,0.541467923,9,-0.185268783,6,-0.24416429,5,-0.259238564,5,-0.343217664,4,0.208037612,6
E01000077,-0.623543374,5,-0.725889389,4,-0.135357464,7,-0.221362044,6,-0.361048191,5,-0.057812731,6,-0.202012842,5,0.452485892,7
E01000078,-0.427742005,6,-0.703173359,4,-0.486439495,5,-0.598371807,4,-0.158721062,6,-0.336669627,4,-0.084826273,5,-0.463173799,2
E01000079,-0.469965129,6,-0.315475206,6,-0.503114467,5,-0.553386851,4,-0.324562845,5,-0.257352771,5,-0.338650309,4,-0.111328881,4
E01000080,-0.426185919,6,-0.42916709,5,-0.049976963,7,-0.31724021,5,-0.408546357,4,-0.537884197,3,0.363935827,7,0.05042651,5
E01000081,-0.429773814,6,-0.58597381,4,-0.273886215,6,-0.360139833,5,-0.227496894,5,-0.281314524,5,-0.346425212,4,0.191423115,6
E01000082,-0.364063365,7,-0.567841507,5,-0.746531825,3,-0.757226891,3,-0.174796116,6,-0.336592459,4,-0.030842559,5,-0.565971176,2
E01000083,-0.639067643,5,-0.804231968,3,-0.497515476,5,-0.559883348,4,-0.249080114,5,-0.435968576,4,-0.382338173,4,-0.125307027,4
E01000084,-0.846015523,3,-0.487843945,5,-0.456263546,5,-0.417924721,5,-0.04072132,6,0.188188138,7,0.211064794,7,0.020707315,5
E01000085,-0.461855136,6,-0.612277644,4,-0.642534373,4,-0.599888296,4,-0.507141868,4,-0.386557723,4,-0.178620195,5,-0.351149964,3
E01000086,0.472339363,9,0.612650971,9,0.821679466,9,0.668917483,9,-0.124894922,6,0.01283713,6,0.664053908,8,1.26808462,9
E01000087,-0.427053998,6,-0.654579821,4,-0.44449391,5,-0.545338985,4,-0.545981989,3,-0.710133287,2,-0.562738898,3,-0.168868145,4
E01000088,-0.324128199,7,0.106950597,8,0.015396786,7,-0.294671201,5,-0.234079065,5,0.174898514,7,0.091280051,6,-0.331231522,3
E01000089,-0.676129158,5,-0.860652163,3,-0.687971888,3,-1.133577105,1,-0.767483819,2,-1.017695869,1,-0.878827609,1,-0.493117545,2
E01000090,-1.001271175,2,-0.703007802,4,-0.950500391,2,-0.564944313,4,-0.860683764,2,-0.827596539,2,-0.783563301,1,-0.337097108,3
E01000091,-0.369068715,7,-0.459898863,5,-0.049155866,7,-0.131480282,6,-0.314408823,5,-0.07784991,6,0.320566717,7,0.411888243,7
E01000092,-0.923386985,3,-1.053134556,1,-1.017293074,1,-0.857393328,2,-0.766467556,2,-0.976101675,1,-0.761328067,2,-0.736184839,1
E01000093,-0.409126263,6,-0.255590497,6,0.037137268,7,0.209849251,7,0.206294263,7,-0.145059434,5,0.259886284,7,-0.028021721,5
E01000094,-0.574741871,5,-0.759019983,3,-1.118262459,1,-0.935648398,2,-1.254339506,1,-1.038886124,1,-0.775632594,1,-0.772146743,1
E01000095,-1.155395377,1,-0.948333258,2,-0.664419606,4,-0.840243791,2,-0.815690029,2,-0.890687825,1,-0.537650244,3,-0.418914715,3
E01000096,-0.856170919,3,-0.701529322,4,-0.805302695,3,-0.963199547,1,-0.773397402,2,-0.843368276,1,-0.750594137,2,-0.193676173,4
E01000097,0.26023136,9,0.079881606,8,-0.008501189,7,0.006877296,7,-0.079470752,6,0.612413114,8,-0.226011476,4,0.327688231,6
E01000098,-0.777243696,4,-0.829266983,3,-0.324003639,6,-0.162667757,6,0.395003831,8,0.496817465,8,0.16962314,6,0.418679428,7
E01000099,-0.413070906,6,-0.857155616,3,-0.717573721,3,-0.782493386,2,-0.197079005,5,-0.355753193,4,-0.219809809,4,-0.210222056,4
E01000100,-0.814490072,4,-0.100959702,7,-0.242683771,6,-0.378774735,5,-0.321581195,5,-0.481505475,3,0.054198948,6,0.137960194,6
E01000101,-0.251914333,7,0.274810556,8,-0.188161782,6,0.721490874,9,-0.128734277,6,0.345005593,7,0.327803786,7,0.382629456,7
E01000102,-0.302651456,7,-0.193735156,7,0.178837465,8,0.289678145,8,0.44584037,8,0.633429446,8,0.320613809,7,-0.01602084,5
E01000103,-0.632292327,5,-0.498127069,5,-0.460254256,5,-0.804815526,2,-0.284541627,5,-0.691139343,2,-0.117128798,5,-0.229956219,4
E01000104,-0.655740019,5,-0.696162421,4,-0.283040567,6,-0.082895219,6,-0.391877732,4,-0.11478903,5,0.06306807,6,0.073546975,5
E01000105,0.093322761,8,-0.120444832,7,-0.045303384,7,0.184064892,7,0.167278962,7,0.220536553,7,0.542082568,8,0.649774952,7
E01000106,0.183454279,9,0.056139889,8,0.367305251,8,0.045024445,7,-0.211969436,5,0.053678426,6,0.002398923,6,0.301512466,6
E01000107,-0.915743913,3,-0.579099199,5,-0.438587615,5,-0.551198537,4,-0.292227734,5,-0.885658383,1,0.196043691,6,-0.331448394,3
