CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F167,F184,F185,F2340,F2341,F2342,F130016,F130017,F130018,F130019,F130020,F130021,F130022,F130023,F130024,F130025,F130026,F130731,F130732,F130733,F130734,F130735,F130736,F130737,F130738,F130739,F130740,F130800,F130801,F130802,F130803,F130804,F130805,F130806,F130807,F130808,F130809,F131145,F131146,F131147,F131148,F131149,F131150,F131151,F131152,F131153,F131154,F131490,F131491,F131492,F131493,F131494,F131495,F131496,F131497,F131498,F131499,F131904,F131905,F131906,F131907,F131908,F131909,F131910,F131911,F131912,F131913,F132180,F132181,F132182,F132183,F132184,F132185,F132186,F132187,F132188,F132189,F136983,
31369,E01012497,Warrington 016C,Lower Super Output Areas and Data Zones,LSOADZ,1271,39.00158,40,1271,593,678,1271,1190,0,15,3,27,1,1,23,10,1,1271,924,0,3,0,38,0,6,231,69,1190,887,0,0,0,2,0,6,228,67,15,10,0,0,0,3,0,0,2,0,55,19,0,3,0,32,0,0,1,0,10,8,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1271,
31370,E01012498,Warrington 016D,Lower Super Output Areas and Data Zones,LSOADZ,1523,38.41891,38,1523,729,794,1523,1450,0,26,10,6,0,10,7,10,4,1523,1088,2,6,0,14,1,3,322,87,1450,1060,1,0,0,0,0,3,306,80,26,12,0,0,0,2,0,0,12,0,33,10,1,6,0,6,1,0,2,7,10,5,0,0,0,5,0,0,0,0,4,1,0,0,0,1,0,0,2,0,1523,
31371,E01012499,Warrington 016E,Lower Super Output Areas and Data Zones,LSOADZ,1908,34.65461,35,1908,946,962,1908,1824,0,16,5,22,6,15,11,9,0,1908,1353,8,0,0,28,1,2,408,108,1824,1327,2,0,0,1,0,2,388,104,16,8,0,0,0,0,0,0,7,1,59,12,6,0,0,27,1,0,11,2,9,6,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1908,
31372,E01012500,Warrington 015E,Lower Super Output Areas and Data Zones,LSOADZ,1354,44.65731,47,1354,661,693,1354,1335,0,9,2,0,0,2,3,2,1,1354,1048,0,2,3,3,0,1,207,90,1335,1038,0,0,3,0,0,1,204,89,9,6,0,0,0,0,0,0,2,1,7,2,0,2,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1354,
31373,E01012501,Warrington 016F,Lower Super Output Areas and Data Zones,LSOADZ,1419,39.36927,39,1419,708,711,1419,1386,0,9,9,1,0,5,1,7,1,1419,1077,2,8,0,6,2,4,260,60,1386,1062,0,0,0,5,1,4,255,59,9,3,0,1,0,0,0,0,4,1,16,5,2,7,0,1,1,0,0,0,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1419,
31374,E01012502,Warrington 024C,Lower Super Output Areas and Data Zones,LSOADZ,1633,41.15983,44,1633,811,822,1633,1597,3,10,2,13,0,0,7,0,1,1633,1232,5,2,4,12,0,1,277,100,1600,1221,4,0,4,0,0,1,273,97,10,5,0,0,0,0,0,0,4,1,22,5,1,2,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1614,
31375,E01012503,Warrington 024D,Lower Super Output Areas and Data Zones,LSOADZ,1451,38.12612,42,1451,717,734,1451,1396,1,20,13,0,0,10,5,2,4,1451,1071,4,8,4,0,7,2,251,104,1397,1054,0,0,4,0,0,2,239,98,20,11,1,0,0,0,0,0,6,2,28,4,3,8,0,0,4,0,6,3,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,1451,
31376,E01012504,Warrington 020A,Lower Super Output Areas and Data Zones,LSOADZ,1785,35.33838,33,1785,908,877,1785,1710,0,25,0,6,1,0,21,9,13,1785,1212,1,0,1,21,0,7,444,99,1710,1168,1,0,1,1,0,5,437,97,25,14,0,0,0,0,0,2,7,2,28,21,0,0,0,7,0,0,0,0,9,9,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,1751,
31377,E01012505,Warrington 020B,Lower Super Output Areas and Data Zones,LSOADZ,1400,37.71571,38,1400,701,699,1400,1352,0,21,1,5,0,3,9,4,5,1400,992,6,0,0,15,0,6,281,100,1352,974,2,0,0,3,0,6,272,95,21,9,0,0,0,2,0,0,6,4,18,5,4,0,0,6,0,0,3,0,4,3,0,0,0,0,0,0,0,1,5,1,0,0,0,4,0,0,0,0,1400,
31378,E01012506,Warrington 020C,Lower Super Output Areas and Data Zones,LSOADZ,1544,34.87111,33,1544,768,776,1544,1520,0,7,2,4,0,4,2,2,3,1544,1015,0,0,0,11,1,9,418,90,1520,1007,0,0,0,4,0,9,410,90,7,4,0,0,0,0,0,0,3,0,12,2,0,0,0,5,1,0,4,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,0,1544,
31379,E01012507,Warrington 020D,Lower Super Output Areas and Data Zones,LSOADZ,1845,37.27913,34,1845,942,903,1845,1775,0,15,11,6,1,13,12,6,6,1845,1193,1,6,0,12,2,5,506,120,1775,1167,0,0,0,1,0,5,489,113,15,7,0,0,0,0,0,0,5,3,43,13,1,6,0,8,0,0,12,3,6,6,0,0,0,0,0,0,0,0,6,0,0,0,0,3,2,0,0,1,1838,
31380,E01012508,Warrington 020E,Lower Super Output Areas and Data Zones,LSOADZ,1560,39.62756,38,1560,770,790,1560,1499,0,18,10,12,2,8,5,6,0,1560,1043,4,3,4,20,3,7,362,114,1499,1026,3,0,4,2,0,6,349,109,18,8,0,0,0,0,0,0,7,3,37,9,1,3,0,13,3,0,6,2,6,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1505,
31381,E01012509,Warrington 018D,Lower Super Output Areas and Data Zones,LSOADZ,1791,45.57007,47,1791,875,916,1791,1736,0,24,4,4,4,6,5,3,5,1791,1323,1,2,0,19,0,3,318,125,1736,1303,0,0,0,1,0,3,310,119,24,17,0,0,0,1,0,0,3,3,23,2,1,2,0,12,0,0,4,2,3,1,0,0,0,0,0,0,1,1,5,0,0,0,0,5,0,0,0,0,1791,
31382,E01012510,Warrington 017D,Lower Super Output Areas and Data Zones,LSOADZ,1751,38.22673,37,1751,923,828,1751,1650,0,31,14,21,4,5,17,4,5,1751,1133,7,11,0,29,0,3,441,127,1650,1109,4,0,0,2,0,3,408,124,31,10,0,0,0,0,0,0,21,0,61,10,3,11,0,25,0,0,10,2,4,2,0,0,0,0,0,0,1,1,5,2,0,0,0,2,0,0,1,0,1751,
31383,E01012511,Warrington 017E,Lower Super Output Areas and Data Zones,LSOADZ,1670,36.44551,33,1670,827,843,1670,1588,0,19,15,18,0,6,2,19,3,1670,1150,2,4,1,16,4,9,362,122,1588,1116,2,0,1,1,0,9,352,107,19,15,0,0,0,2,0,0,2,0,41,0,0,4,0,11,4,0,8,14,19,19,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,1670,
31384,E01012512,Warrington 018E,Lower Super Output Areas and Data Zones,LSOADZ,1558,48.17843,50,1558,769,789,1558,1529,0,10,7,3,0,4,4,1,0,1558,1256,3,3,0,5,0,3,201,87,1529,1249,1,0,0,0,0,3,192,84,10,4,0,0,0,0,0,0,4,2,18,2,2,3,0,5,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1558,
31385,E01012513,Warrington 021A,Lower Super Output Areas and Data Zones,LSOADZ,1980,39.68131,41,1980,959,1021,1980,1909,0,26,12,7,5,11,2,3,5,1980,1333,4,7,2,22,7,2,469,134,1909,1313,3,0,2,5,0,2,452,132,26,14,0,2,0,1,2,0,6,1,37,3,1,5,0,12,5,0,11,0,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,1,1962,
31386,E01012514,Warrington 021B,Lower Super Output Areas and Data Zones,LSOADZ,1864,39.12339,42,1864,887,977,1864,1817,0,19,9,9,0,6,1,3,0,1864,1307,1,5,3,11,3,2,400,132,1817,1295,1,0,3,1,0,2,385,130,19,8,0,0,0,0,2,0,9,0,25,3,0,5,0,10,1,0,5,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1837,
31387,E01012515,Warrington 021C,Lower Super Output Areas and Data Zones,LSOADZ,1471,42.01156,43,1471,712,759,1471,1420,1,21,19,2,0,2,0,4,2,1471,1023,1,10,4,4,5,6,331,87,1421,1000,1,0,4,0,0,6,324,86,21,16,0,0,0,0,0,0,4,1,23,3,0,10,0,2,5,0,3,0,4,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1471,
31388,E01012516,Warrington 021D,Lower Super Output Areas and Data Zones,LSOADZ,1342,45.28093,48,1342,656,686,1342,1317,0,6,5,9,0,1,2,1,1,1342,907,3,2,5,12,0,5,318,90,1317,902,1,0,5,1,0,4,315,89,6,1,0,0,0,2,0,1,2,0,17,3,2,2,0,8,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1301,
31389,E01012517,Warrington 021E,Lower Super Output Areas and Data Zones,LSOADZ,2216,38.0731,40,2216,1092,1124,2216,2123,0,32,12,17,0,8,6,8,10,2216,1538,6,9,8,30,0,5,491,129,2123,1517,3,1,8,4,0,4,468,118,32,11,0,0,0,2,0,1,16,2,43,2,3,8,0,17,0,0,7,6,8,7,0,0,0,0,0,0,0,1,10,1,0,0,0,7,0,0,0,2,2216,
31390,E01012518,Warrington 021F,Lower Super Output Areas and Data Zones,LSOADZ,2003,38.94458,40,2003,995,1008,2003,1955,0,29,2,0,0,5,3,8,1,2003,1366,6,1,4,5,0,1,478,142,1955,1344,4,0,4,3,0,1,460,139,29,14,0,0,0,0,0,0,13,2,10,1,2,1,0,0,0,0,5,1,8,7,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2003,
31391,E01012519,Warrington 021G,Lower Super Output Areas and Data Zones,LSOADZ,1474,43.51357,44,1474,730,744,1474,1439,0,17,5,0,0,3,3,3,4,1474,1001,3,3,0,4,1,1,360,101,1439,992,2,0,0,1,0,1,345,98,17,2,0,0,0,2,0,0,10,3,11,0,1,3,0,1,1,0,5,0,3,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1471,
31392,E01012520,Warrington 011C,Lower Super Output Areas and Data Zones,LSOADZ,1506,36.72311,36,1506,769,737,1506,1447,5,29,4,2,0,4,2,3,10,1506,1023,2,2,0,16,0,5,365,93,1452,1001,1,0,0,3,0,5,351,91,29,16,1,0,0,0,0,0,11,1,12,3,0,2,0,3,0,0,3,1,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,1465,
31393,E01012521,Warrington 008A,Lower Super Output Areas and Data Zones,LSOADZ,1571,41.04965,42,1571,742,829,1571,1541,1,14,2,2,1,7,1,0,2,1571,1172,5,2,3,8,0,2,277,102,1542,1162,2,0,3,4,0,2,273,96,14,9,0,0,0,0,0,0,2,3,13,0,3,2,0,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1564,
31394,E01012522,Warrington 008B,Lower Super Output Areas and Data Zones,LSOADZ,1359,40.13686,40,1359,673,686,1359,1320,0,15,0,10,0,5,6,2,1,1359,1014,9,0,0,12,0,4,252,68,1320,1005,4,0,0,0,0,4,239,68,15,5,0,0,0,1,0,0,9,0,21,3,5,0,0,10,0,0,3,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1359,
31395,E01012523,Warrington 011D,Lower Super Output Areas and Data Zones,LSOADZ,1442,37.26838,36,1442,717,725,1442,1405,0,16,5,0,0,2,6,7,1,1442,1015,0,5,0,8,0,8,320,86,1405,1000,0,0,0,2,0,8,311,84,16,9,0,0,0,0,0,0,7,0,13,0,0,5,0,5,0,0,2,1,7,6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1442,
31396,E01012524,Warrington 011E,Lower Super Output Areas and Data Zones,LSOADZ,1523,42.54498,44,1523,752,771,1523,1505,0,12,1,1,0,0,2,0,2,1523,1229,5,1,0,3,0,2,217,66,1505,1219,5,0,0,0,0,2,213,66,12,8,0,0,0,0,0,0,4,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1523,
31397,E01012525,Warrington 011F,Lower Super Output Areas and Data Zones,LSOADZ,1517,36.33619,35,1517,755,762,1517,1459,9,15,9,6,0,8,4,2,5,1517,1116,6,2,0,8,3,1,300,81,1468,1096,3,0,0,5,0,1,286,77,15,8,0,0,0,0,0,0,6,1,27,11,1,2,0,2,3,0,8,0,2,1,0,0,0,0,0,0,0,1,5,0,2,0,0,1,0,0,0,2,1517,
31398,E01012526,Warrington 006A,Lower Super Output Areas and Data Zones,LSOADZ,1700,30.62588,28,1700,828,872,1700,1637,1,16,10,5,0,5,11,12,3,1700,1078,3,3,0,14,1,4,491,106,1638,1042,0,0,0,3,1,4,486,102,16,12,0,0,0,1,0,0,2,1,31,12,3,3,0,8,0,0,2,3,12,11,0,0,0,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0,1700,
31399,E01012527,Warrington 019A,Lower Super Output Areas and Data Zones,LSOADZ,1491,41.74648,43,1491,722,769,1491,1445,0,14,0,19,3,2,4,2,2,1491,1107,2,2,0,25,0,2,256,97,1445,1094,1,0,0,1,0,2,253,94,14,9,0,0,0,1,0,0,1,3,28,1,1,2,0,22,0,0,2,0,2,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1491,
31400,E01012528,Warrington 019B,Lower Super Output Areas and Data Zones,LSOADZ,1241,47.35858,51,1241,576,665,1241,1220,0,8,2,7,0,0,1,0,3,1241,959,3,0,0,8,4,2,210,55,1220,952,2,0,0,1,1,2,207,55,8,6,0,0,0,0,1,0,1,0,10,0,1,0,0,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,1,0,1202,
31401,E01012529,Warrington 019C,Lower Super Output Areas and Data Zones,LSOADZ,1426,42.71669,44,1426,684,742,1426,1393,0,17,1,5,0,2,5,2,1,1426,1111,1,0,0,7,0,0,202,105,1393,1094,0,0,0,1,0,0,194,104,17,10,0,0,0,0,0,0,6,1,13,5,1,0,0,6,0,0,1,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1426,
31402,E01012530,Warrington 019D,Lower Super Output Areas and Data Zones,LSOADZ,1442,42.21567,44,1442,698,744,1442,1423,0,5,0,3,0,7,1,0,3,1442,1160,2,0,0,6,0,0,219,55,1423,1156,1,0,0,1,0,0,213,52,5,2,0,0,0,1,0,0,1,1,11,1,1,0,0,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,0,1,1383,
31403,E01012531,Warrington 019E,Lower Super Output Areas and Data Zones,LSOADZ,1513,45.36616,46,1513,703,810,1513,1488,0,8,10,5,0,0,2,0,0,1513,1163,2,8,1,10,2,0,239,88,1488,1160,2,0,1,2,0,0,236,87,8,3,0,0,0,1,0,0,3,1,17,0,0,8,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513,
31404,E01012532,Warrington 019F,Lower Super Output Areas and Data Zones,LSOADZ,1430,48.81259,51,1430,675,755,1430,1415,0,6,0,0,0,3,2,3,1,1430,1119,4,2,1,0,0,3,209,92,1415,1111,2,0,0,0,0,3,207,92,6,4,0,0,0,0,0,0,2,0,5,1,2,2,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1367,
31405,E01012533,Warrington 008C,Lower Super Output Areas and Data Zones,LSOADZ,1445,31.66436,27,1445,697,748,1445,1403,0,28,1,5,0,2,2,2,2,1445,926,3,0,0,17,0,0,419,80,1403,909,3,0,0,3,0,0,413,75,28,13,0,0,0,8,0,0,5,2,10,2,0,0,0,5,0,0,1,2,2,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1445,
31406,E01012534,Warrington 006B,Lower Super Output Areas and Data Zones,LSOADZ,1520,34.56776,32,1520,722,798,1520,1481,1,26,0,1,0,1,4,6,0,1520,1053,0,0,0,5,0,10,378,74,1482,1034,0,0,0,0,0,9,368,71,26,10,0,0,0,3,0,1,9,3,6,5,0,0,0,1,0,0,0,0,6,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1520,
31407,E01012535,Warrington 006C,Lower Super Output Areas and Data Zones,LSOADZ,1655,34.35468,32,1655,794,861,1655,1618,0,23,3,0,0,0,6,4,1,1655,1170,1,3,0,7,0,5,388,81,1618,1153,0,1,0,3,0,4,380,77,23,14,0,0,0,1,0,0,4,4,9,2,1,2,0,3,0,1,0,0,4,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1655,
31408,E01012536,Warrington 008D,Lower Super Output Areas and Data Zones,LSOADZ,1436,36.81685,35,1436,719,717,1436,1404,0,15,2,1,0,7,2,5,0,1436,1022,1,2,0,9,0,2,307,93,1404,1009,0,0,0,8,0,2,295,90,15,8,0,0,0,0,0,0,5,2,12,2,1,2,0,1,0,0,6,0,5,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1436,
31409,E01012537,Warrington 006D,Lower Super Output Areas and Data Zones,LSOADZ,1496,37.6758,36,1496,707,789,1496,1475,1,15,0,1,0,4,0,0,0,1496,1030,2,0,0,4,0,3,352,105,1476,1025,2,0,0,2,0,3,340,104,15,5,0,0,0,1,0,0,8,1,5,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496,
31410,E01012538,Warrington 007A,Lower Super Output Areas and Data Zones,LSOADZ,1427,40.75333,43,1427,695,732,1427,1397,0,13,1,3,0,4,3,3,3,1427,1079,5,0,0,9,0,1,253,80,1397,1068,2,0,0,3,0,1,245,78,13,9,0,0,0,0,0,0,4,0,11,0,3,0,0,3,0,0,4,1,3,2,0,0,0,0,0,0,0,1,3,0,0,0,0,3,0,0,0,0,1427,
31411,E01012539,Warrington 006E,Lower Super Output Areas and Data Zones,LSOADZ,1549,38.24726,38,1549,753,796,1549,1524,0,15,0,2,0,2,1,4,1,1549,1144,0,0,0,4,0,5,284,112,1524,1128,0,0,0,1,0,5,280,110,15,11,0,0,0,0,0,0,2,2,5,1,0,0,0,3,0,0,1,0,4,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1547,
31412,E01012540,Warrington 007B,Lower Super Output Areas and Data Zones,LSOADZ,1366,42.16545,43.5,1366,670,696,1366,1326,0,16,7,6,0,3,2,3,3,1366,1037,1,2,0,14,1,5,221,85,1326,1022,0,0,0,0,0,5,216,83,16,9,0,0,0,2,0,0,4,1,18,4,1,2,0,9,1,0,0,1,3,2,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,1366,
31413,E01012541,Warrington 007C,Lower Super Output Areas and Data Zones,LSOADZ,1303,37.09056,37,1303,616,687,1303,1270,0,16,3,1,0,4,1,4,4,1303,963,2,1,2,4,1,4,262,64,1270,948,1,0,2,0,0,4,252,63,16,5,0,0,0,3,0,0,7,1,9,3,1,1,0,1,1,0,2,0,4,4,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,1,0,1303,
31414,E01012542,Warrington 007D,Lower Super Output Areas and Data Zones,LSOADZ,1356,44.41888,48,1356,670,686,1356,1326,0,15,1,0,0,0,6,2,6,1356,1015,0,2,0,10,0,3,250,76,1326,998,0,0,0,5,0,3,246,74,15,10,0,0,0,1,0,0,3,1,7,4,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,6,2,0,0,0,4,0,0,0,0,1356,
31415,E01012543,Warrington 007E,Lower Super Output Areas and Data Zones,LSOADZ,1647,39.7207,37,1647,803,844,1647,1610,0,20,3,0,0,3,0,10,1,1647,1152,4,2,0,3,0,8,398,80,1610,1133,3,0,0,2,0,8,385,79,20,9,1,0,0,0,0,0,10,0,6,2,0,2,0,0,0,0,1,1,10,8,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1336,
31416,E01012544,Warrington 007F,Lower Super Output Areas and Data Zones,LSOADZ,1404,42.4651,45,1404,686,718,1404,1362,0,18,2,1,0,4,4,10,3,1404,1099,10,2,0,3,0,2,211,77,1362,1076,3,0,0,1,0,1,205,76,18,12,2,0,0,1,0,1,2,0,11,1,4,2,0,0,0,0,4,0,10,9,0,0,0,0,0,0,0,1,3,1,1,0,0,1,0,0,0,0,1401,
31417,E01012545,Warrington 008E,Lower Super Output Areas and Data Zones,LSOADZ,1592,34.59108,32,1592,769,823,1592,1518,1,26,13,9,1,3,8,7,6,1592,1017,5,5,0,25,5,7,443,85,1519,994,2,0,0,3,0,7,435,78,26,13,0,0,0,2,0,0,7,4,34,3,3,5,0,15,5,0,1,2,7,7,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,1,1592,
31418,E01012546,Warrington 008F,Lower Super Output Areas and Data Zones,LSOADZ,1598,31.09825,30,1598,789,809,1598,1563,0,17,2,5,0,0,3,5,3,1598,1004,4,1,1,13,0,9,486,80,1563,990,4,0,1,2,0,8,480,78,17,7,0,0,0,2,0,0,6,2,10,2,0,1,0,6,0,1,0,0,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1598,
31419,E01012547,Warrington 012B,Lower Super Output Areas and Data Zones,LSOADZ,1716,40.50466,42,1716,835,881,1716,1692,0,10,0,0,0,4,2,6,2,1716,1318,0,0,0,6,1,1,301,89,1692,1310,0,0,0,0,1,1,296,84,10,5,0,0,0,1,0,0,4,0,6,1,0,0,0,0,0,0,1,4,6,2,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1713,
31420,E01012548,Warrington 012C,Lower Super Output Areas and Data Zones,LSOADZ,1793,39.69883,41,1793,892,901,1793,1769,1,10,0,0,2,3,2,3,3,1793,1415,0,1,1,7,0,5,249,115,1770,1407,0,1,1,3,0,5,244,109,10,6,0,0,0,0,0,0,1,3,7,0,0,0,0,1,0,0,3,3,3,2,0,0,0,0,0,0,1,0,3,0,0,0,0,3,0,0,0,0,1793,
31421,E01012549,Warrington 012D,Lower Super Output Areas and Data Zones,LSOADZ,1393,48.17229,51,1393,669,724,1393,1381,0,6,0,0,0,1,1,2,2,1393,1141,3,0,1,1,0,1,179,67,1381,1137,2,0,0,0,0,1,176,65,6,2,0,0,0,0,0,0,3,1,2,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1393,
31422,E01012550,Warrington 012E,Lower Super Output Areas and Data Zones,LSOADZ,1583,45.56223,47,1583,779,804,1583,1567,0,10,0,0,0,2,1,1,2,1583,1260,0,0,0,1,0,5,225,92,1567,1254,0,0,0,0,0,5,216,92,10,4,0,0,0,0,0,0,6,0,3,1,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1583,
31423,E01012551,Warrington 014A,Lower Super Output Areas and Data Zones,LSOADZ,1560,39.78975,43,1560,780,780,1560,1511,0,9,4,15,0,9,0,8,4,1560,1224,2,3,2,19,0,1,237,72,1511,1211,1,0,2,1,0,0,226,70,9,1,0,0,0,4,0,0,3,1,28,1,1,3,0,13,0,1,8,1,8,8,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,0,0,1560,
31424,E01012552,Warrington 014B,Lower Super Output Areas and Data Zones,LSOADZ,1357,43.20413,43,1357,644,713,1357,1295,4,19,9,3,0,14,9,2,2,1357,1023,1,8,1,11,0,3,238,72,1299,1004,1,0,1,0,0,3,227,63,19,13,0,0,0,1,0,0,3,2,35,4,0,8,0,9,0,0,7,7,2,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1357,
31425,E01012553,Warrington 014C,Lower Super Output Areas and Data Zones,LSOADZ,1354,39.28213,43,1354,692,662,1354,1336,0,5,5,0,0,4,3,1,0,1354,1092,1,2,0,1,4,2,195,57,1336,1090,0,0,0,0,0,2,190,54,5,0,0,0,0,1,0,0,3,1,12,1,1,2,0,0,4,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,
31426,E01012554,Warrington 002D,Lower Super Output Areas and Data Zones,LSOADZ,1960,42.75,45,1960,972,988,1960,1925,0,14,6,4,5,2,1,3,0,1960,1470,1,3,4,10,1,2,345,124,1925,1456,0,0,4,0,0,2,341,122,14,10,0,0,0,0,0,0,3,1,18,1,1,3,0,10,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,
31427,E01012555,Warrington 014D,Lower Super Output Areas and Data Zones,LSOADZ,1402,44.13695,46,1402,695,707,1402,1375,0,9,1,2,0,9,2,0,4,1402,1106,2,0,3,2,4,3,221,61,1375,1098,2,0,3,0,0,1,216,55,9,7,0,0,0,0,0,0,1,1,14,1,0,0,0,2,0,2,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,1311,
31428,E01012556,Warrington 014E,Lower Super Output Areas and Data Zones,LSOADZ,1483,44.83952,47,1483,742,741,1483,1455,0,6,7,8,0,0,2,3,2,1483,1124,2,3,0,11,4,6,254,79,1455,1117,0,0,0,2,0,6,252,78,6,3,0,0,0,0,0,0,2,1,17,0,2,3,0,8,4,0,0,0,3,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1483,
31429,E01012557,Warrington 023C,Lower Super Output Areas and Data Zones,LSOADZ,1574,39.777,40,1574,777,797,1574,1515,0,27,3,0,1,11,13,2,2,1574,1069,15,1,0,5,0,2,388,94,1515,1043,2,0,0,2,0,1,373,94,27,17,0,0,0,0,0,0,10,0,28,7,13,1,0,3,0,0,4,0,2,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,1574,
31430,E01012558,Warrington 023D,Lower Super Output Areas and Data Zones,LSOADZ,1787,38.34415,39,1787,906,881,1787,1740,0,16,18,1,2,10,0,0,0,1787,1223,7,17,0,5,0,7,411,117,1740,1215,7,0,0,1,0,7,395,115,16,6,0,0,0,3,0,0,7,0,31,2,0,17,0,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1787,
31431,E01012559,Warrington 023E,Lower Super Output Areas and Data Zones,LSOADZ,1554,42.79472,44,1554,766,788,1554,1516,0,11,7,2,4,1,5,4,4,1554,1131,5,4,1,6,1,3,308,95,1516,1124,0,0,1,0,0,3,299,89,11,4,0,0,0,0,0,0,4,3,19,1,5,4,0,5,1,0,1,2,4,2,0,0,0,0,0,0,2,0,4,0,0,0,0,1,0,0,2,1,1488,
31432,E01012560,Warrington 023F,Lower Super Output Areas and Data Zones,LSOADZ,1476,42.38008,43.5,1476,709,767,1476,1435,0,15,2,0,1,13,3,0,7,1476,1114,2,2,0,9,0,4,254,91,1435,1096,1,0,0,1,0,4,242,91,15,13,0,0,0,2,0,0,0,0,19,4,1,2,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,5,0,0,1,0,1476,
31433,E01012561,Warrington 009A,Lower Super Output Areas and Data Zones,LSOADZ,1589,37.84204,38,1589,771,818,1589,1497,0,11,18,5,5,25,24,0,4,1589,1090,9,11,0,16,2,4,352,105,1497,1044,3,0,0,3,0,4,342,101,11,7,0,0,0,1,0,0,3,0,77,38,6,11,0,10,2,0,7,3,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,1,1559,
